,Total Score,MatchTime,Total Shooting
0,2,2022-05-08 20:00:00,20
1,4,2022-06-08 12:30:00,20
2,2,2022-06-08 15:00:00,22
3,3,2022-06-08 15:00:00,27
4,2,2022-06-08 15:00:00,28
5,5,2022-06-08 15:00:00,28
6,1,2022-06-08 17:30:00,23
7,4,2022-07-08 14:00:00,22
8,3,2022-07-08 14:00:00,32
9,2,2022-07-08 16:30:00,20
10,3,2022-08-13 12:30:00,27
11,6,2022-08-13 15:00:00,25
12,0,2022-08-13 15:00:00,17
13,4,2022-08-13 15:00:00,22
14,4,2022-08-13 15:00:00,27
15,0,2022-08-13 15:00:00,16
16,4,2022-08-13 17:30:00,28
17,1,2022-08-14 14:00:00,32
18,4,2022-08-14 16:30:00,26
19,2,2022-08-15 20:00:00,31
20,1,2022-08-20 12:30:00,31
21,4,2022-08-20 15:00:00,30
22,2,2022-08-20 15:00:00,33
23,5,2022-08-20 15:00:00,31
24,3,2022-08-20 15:00:00,15
25,3,2022-08-20 17:30:00,20
26,3,2022-08-21 14:00:00,26
27,2,2022-08-21 14:00:00,24
28,6,2022-08-21 16:30:00,33
29,3,2022-08-22 20:00:00,29
30,1,2022-08-27 12:30:00,28
31,2,2022-08-27 15:00:00,33
32,1,2022-08-27 15:00:00,23
33,3,2022-08-27 15:00:00,24
34,9,2022-08-27 15:00:00,24
35,6,2022-08-27 15:00:00,20
36,3,2022-08-27 17:30:00,33
37,1,2022-08-28 14:00:00,16
38,2,2022-08-28 14:00:00,31
39,2,2022-08-28 16:30:00,35
40,2,2022-08-30 19:30:00,22
41,3,2022-08-30 19:30:00,17
42,3,2022-08-30 19:45:00,19
43,2,2022-08-30 20:00:00,21
44,3,2022-08-31 19:30:00,26
45,0,2022-08-31 19:30:00,22
46,6,2022-08-31 19:30:00,25
47,2,2022-08-31 19:45:00,27
48,3,2022-08-31 20:00:00,28
49,1,2022-01-09 20:00:00,19
50,0,2022-03-09 12:30:00,37
51,7,2022-03-09 15:00:00,31
52,3,2022-03-09 15:00:00,14
53,0,2022-03-09 15:00:00,42
54,5,2022-03-09 15:00:00,19
55,3,2022-03-09 15:00:00,32
56,1,2022-03-09 15:00:00,19
57,2,2022-03-09 17:30:00,16
58,7,2022-04-09 14:00:00,29
59,4,2022-04-09 16:30:00,26
60,1,2022-09-16 20:00:00,18
61,5,2022-09-16 20:00:00,26
62,3,2022-09-17 12:30:00,22
63,2,2022-09-17 15:00:00,30
64,8,2022-09-17 17:30:00,35
65,3,2022-09-18 12:00:00,18
66,1,2022-09-18 14:15:00,21
67,4,2022-01-10 12:30:00,29
68,0,2022-01-10 15:00:00,20
69,3,2022-01-10 15:00:00,20
70,5,2022-01-10 15:00:00,22
71,6,2022-01-10 15:00:00,21
72,3,2022-01-10 15:00:00,34
73,2,2022-01-10 17:30:00,33
74,9,2022-02-10 14:00:00,34
75,0,2022-02-10 16:30:00,28
76,4,2022-03-10 20:00:00,27
77,3,2022-08-10 15:00:00,19
78,3,2022-08-10 15:00:00,28
79,4,2022-08-10 15:00:00,26
80,6,2022-08-10 15:00:00,22
81,1,2022-08-10 17:30:00,22
82,3,2022-09-10 14:00:00,23
83,4,2022-09-10 14:00:00,25
84,5,2022-09-10 16:30:00,19
85,3,2022-09-10 19:00:00,23
86,2,2022-10-10 20:00:00,18
87,2,2022-10-14 20:00:00,28
88,0,2022-10-15 12:30:00,22
89,4,2022-10-15 15:00:00,29
90,1,2022-10-15 15:00:00,19
91,2,2022-10-15 17:30:00,25
92,2,2022-10-16 14:00:00,26
93,1,2022-10-16 14:00:00,25
94,0,2022-10-16 14:00:00,24
95,2,2022-10-16 14:00:00,35
96,1,2022-10-16 16:30:00,29
97,0,2022-10-18 19:30:00,22
98,3,2022-10-18 20:15:00,24
99,1,2022-10-19 19:30:00,24
100,0,2022-10-19 19:30:00,22
101,1,2022-10-19 19:30:00,30
102,1,2022-10-19 19:30:00,17
103,2,2022-10-19 20:15:00,37
104,3,2022-10-20 19:30:00,30
105,2,2022-10-20 20:15:00,19
106,1,2022-10-22 12:30:00,25
107,3,2022-10-22 15:00:00,18
108,4,2022-10-22 15:00:00,18
109,2,2022-10-22 17:30:00,19
110,4,2022-10-23 14:00:00,31
111,5,2022-10-23 14:00:00,25
112,2,2022-10-23 14:00:00,22
113,4,2022-10-23 14:00:00,26
114,3,2022-10-23 16:30:00,30
115,2,2022-10-24 20:00:00,25
116,1,2022-10-29 12:30:00,25
117,5,2022-10-29 15:00:00,29
118,2,2022-10-29 15:00:00,26
119,5,2022-10-29 15:00:00,34
120,1,2022-10-29 15:00:00,26
121,4,2022-10-29 15:00:00,23
122,0,2022-10-29 17:30:00,33
123,3,2022-10-29 19:45:00,36
124,5,2022-10-30 14:00:00,29
125,1,2022-10-30 16:15:00,29
126,7,2022-05-11 15:00:00,27
127,3,2022-05-11 15:00:00,20
128,4,2022-05-11 15:00:00,21
129,5,2022-05-11 15:00:00,27
130,2,2022-05-11 17:30:00,34
131,1,2022-06-11 12:00:00,19
132,4,2022-06-11 14:00:00,14
133,5,2022-06-11 14:00:00,23
134,3,2022-06-11 14:00:00,20
135,3,2022-06-11 16:30:00,27
136,3,2022-12-11 12:30:00,39
137,3,2022-12-11 15:00:00,31
138,4,2022-12-11 15:00:00,24
139,1,2022-12-11 15:00:00,17
140,7,2022-12-11 15:00:00,26
141,2,2022-12-11 15:00:00,27
142,1,2022-12-11 17:30:00,15
143,2,2022-12-11 19:45:00,25
144,3,2022-11-13 14:00:00,15
145,3,2022-11-13 16:30:00,28
